filename,reg_type,neuron
GLBS.US.csv,Linear,26
BPYPP.US.csv,Linear,32
IBOC.US.csv,Linear,39
CLDX.US.csv,Linear,34
SUNE.US.csv,Linear,26
ASMB.US.csv,Linear,34
AMWD.US.csv,Linear,24
OCSL.US.csv,Linear,39
ISBA.US.csv,Linear,24
IDXX.US.csv,Linear,37
STBA.US.csv,Linear,24
ZION.US.csv,Linear,24
NTGR.US.csv,Linear,32
MVIS.US.csv,Linear,30
SHBI.US.csv,Linear,24
MRTN.US.csv,Linear,39
TPST.US.csv,Linear,26
MATW.US.csv,Linear,32
WLDN.US.csv,Linear,24
TSBK.US.csv,Linear,39
DOMH.US.csv,Linear,26
OPCH.US.csv,Linear,39
CTRM.US.csv,Linear,26
SABR.US.csv,Linear,2
HOPE.US.csv,Linear,32
ABVC.US.csv,Linear,26
CIVB.US.csv,Linear,24
HGBL.US.csv,Linear,37
LITE.US.csv,Linear,20
OLOX.US.csv,Linear,26
PRTS.US.csv,Linear,30
ALTO.US.csv,Linear,2
UVSP.US.csv,Linear,24
NVAX.US.csv,Linear,34
VREX.US.csv,Linear,32
GCBC.US.csv,Linear,39
JVA.US.csv,Linear,32
